account_rewards,date
706.4495239257812,2023-06-27
201.84661865234375,2023-06-28
2600.2155151367188,2023-06-29
-896.4099731445312,2023-06-30
-670.8364868164062,2023-07-03
284.94976806640625,2023-07-05
-670.8364868164062,2023-07-06
-1228.8589477539062,2023-07-07
-314.63336181640625,2023-07-10
1003.2763671875,2023-07-11
457.10369873046875,2023-07-12
89.05987548828125,2023-07-13
1959.0626220703125,2023-07-14
-154.35650634765625,2023-07-17
813.3068237304688,2023-07-18
-1169.4917602539062,2023-07-19
-706.4495239257812,2023-07-20
480.8487548828125,2023-07-21
516.4890747070312,2023-07-24
522.409423828125,2023-07-25
-759.878173828125,2023-07-26
1549.4490356445312,2023-07-27
368.06201171875,2023-07-28
-498.6734619140625,2023-07-31
-1798.7766723632812,2023-08-01
-837.0518798828125,2023-08-02
-5449.749572753906,2023-08-03
-108.03939617919968,2023-08-04
76.80967864990816,2023-08-07
-338.6368133544893,2023-08-08
